mechanism,level,seed,n_train,n_test,delta_rmse_a,delta_rmse_b,module_a_ci95_high,module_b_ci95_high,module_a_pass,module_b_pass
permutation_mix,1.0,27,159,92,-110467.07788905487,-2847.4658789596288,-87378.44795398628,-634.3551639894533,True,True
permutation_mix,1.0,28,159,92,-114965.80969394353,-7346.197683848295,-92315.07585097715,-2204.877360917056,True,True
permutation_mix,1.0,29,159,92,-117915.70632321064,-10296.094313115405,-91415.49080075652,-4430.795831157585,True,True
noise,0.0,0,159,92,-252838.79542696197,-145219.18341686676,-216371.16257855823,-112840.86779179616,True,True
noise,0.0,1,159,92,-252838.79542696197,-145219.18341686676,-216278.69124119467,-110971.86952102996,True,True
noise,0.0,2,159,92,-252838.79542696197,-145219.18341686676,-213714.6431438163,-112124.64950146215,True,True
noise,0.0,3,159,92,-252838.79542696197,-145219.18341686676,-215708.51417045604,-112415.7669898147,True,True
noise,0.0,4,159,92,-252838.79542696197,-145219.18341686676,-213180.1769728285,-110592.33033212023,True,True
noise,0.0,5,159,92,-252838.79542696197,-145219.18341686676,-215226.0209962073,-110046.96204419034,True,True
noise,0.0,6,159,92,-252838.79542696197,-145219.18341686676,-213259.98143754475,-110676.81230988364,True,True
noise,0.0,7,159,92,-252838.79542696197,-145219.18341686676,-215438.64824164938,-112977.87069946165,True,True
noise,0.0,8,159,92,-252838.79542696197,-145219.18341686676,-215970.8588102419,-112451.70748986748,True,True
noise,0.0,9,159,92,-252838.79542696197,-145219.18341686676,-214080.9296546754,-110281.95879154597,True,True
noise,0.0,10,159,92,-252838.79542696197,-145219.18341686676,-214379.5944826625,-109780.98942358705,True,True
noise,0.0,11,159,92,-252838.79542696197,-145219.18341686676,-215789.1791327186,-111383.13215875726,True,True
noise,0.0,12,159,92,-252838.79542696197,-145219.18341686676,-213858.56797395417,-111281.79729812882,True,True
noise,0.0,13,159,92,-252838.79542696197,-145219.18341686676,-214992.01608476706,-113023.05690108713,True,True
noise,0.0,14,159,92,-252838.79542696197,-145219.18341686676,-214665.44191539014,-111677.7456010896,True,True
noise,0.0,15,159,92,-252838.79542696197,-145219.18341686676,-215767.0208522234,-111558.03778987001,True,True
noise,0.0,16,159,92,-252838.79542696197,-145219.18341686676,-213596.78238821062,-110497.3006325689,True,True
noise,0.0,17,159,92,-252838.79542696197,-145219.18341686676,-212607.89541329327,-110568.21044439991,True,True
noise,0.0,18,159,92,-252838.79542696197,-145219.18341686676,-215904.52329929892,-111507.00025969082,True,True
noise,0.0,19,159,92,-252838.79542696197,-145219.18341686676,-215880.7789717304,-111942.88829067697,True,True
noise,0.0,20,159,92,-252838.79542696197,-145219.18341686676,-215811.30096114072,-111065.93250002735,True,True
noise,0.0,21,159,92,-252838.79542696197,-145219.18341686676,-215049.8834311089,-111860.58022461232,True,True
noise,0.0,22,159,92,-252838.79542696197,-145219.18341686676,-216129.09409591148,-112034.81242296261,True,True
noise,0.0,23,159,92,-252838.79542696197,-145219.18341686676,-214742.803261772,-110494.74442406195,True,True
noise,0.0,24,159,92,-252838.79542696197,-145219.18341686676,-212756.31214172518,-110037.70847596407,True,True
noise,0.0,25,159,92,-252838.79542696197,-145219.18341686676,-214039.64756326703,-112144.81474237137,True,True
noise,0.0,26,159,92,-252838.79542696197,-145219.18341686676,-212041.26946084187,-109941.63150784657,True,True
noise,0.0,27,159,92,-252838.79542696197,-145219.18341686676,-213178.20489443585,-109820.30036926785,True,True
noise,0.0,28,159,92,-252838.79542696197,-145219.18341686676,-215121.90884790386,-112037.13162620846,True,True
noise,0.0,29,159,92,-252838.79542696197,-145219.18341686676,-214689.59645801008,-111504.17827440615,True,True
noise,0.25,0,159,92,-210771.70513889493,-103152.0931287997,-181557.6909409178,-78857.10817256194,True,True
noise,0.25,1,159,92,-222688.21513097023,-115068.603120875,-193814.23457701495,-89886.79334983976,True,True
noise,0.25,2,159,92,-223244.7873222761,-115625.17531218084,-194170.09197101204,-93201.75479389532,True,True
noise,0.25,3,159,92,-215724.2730313167,-108104.66102122146,-185760.1089196102,-83358.76162843105,True,True
noise,0.25,4,159,92,-217332.42487671704,-109712.81286662178,-185937.24689463223,-84282.27989837577,True,True
